tool_name,category,difficulty,quality,customization,target_user
DreamBooth,이미지,2,3,2,연구자
DreamBooth,이미지,3,3,2,마케터
DreamBooth,이미지,1,1,0,초보자
DreamBooth,이미지,3,3,3,콘텐츠 전문가
DreamBooth,이미지,2,3,2,디자이너
DreamBooth,이미지,3,3,3,학생
DreamBooth,이미지,1,2,0,업무 사용자
DreamBooth,이미지,3,3,3,연구자
DreamBooth,이미지,2,3,2,일상 사용자
Perplexity AI,텍스트,2,3,2,학생
Perplexity AI,텍스트,2,3,0,연구자
Perplexity AI,텍스트,3,3,2,마케터
Perplexity AI,텍스트,1,1,0,초보자
Perplexity AI,텍스트,2,3,2,콘텐츠 전문가
Perplexity AI,텍스트,3,3,3,디자이너
Perplexity AI,텍스트,2,3,2,일상 사용자
Perplexity AI,텍스트,2,3,0,업무 사용자
Perplexity AI,텍스트,3,3,3,연구자
ChatGPT 4.0,텍스트,3,3,3,연구자
ChatGPT 4.0,텍스트,3,3,2,학생
ChatGPT 4.0,텍스트,2,3,3,마케터
ChatGPT 4.0,텍스트,1,2,2,초보자
ChatGPT 4.0,텍스트,3,3,3,콘텐츠 전문가
ChatGPT 4.0,텍스트,3,3,2,디자이너
ChatGPT 4.0,텍스트,2,3,3,업무 사용자
ChatGPT 4.0,텍스트,3,3,3,일상 사용자
ChatGPT 4.0,텍스트,2,3,2,학생
Midjourney v4,이미지,2,3,2,연구자
Midjourney v4,이미지,2,3,0,학생
Midjourney v4,이미지,3,3,2,마케터
Midjourney v4,이미지,1,1,0,초보자
Midjourney v4,이미지,2,3,2,콘텐츠 전문가
Midjourney v4,이미지,3,3,3,디자이너
Midjourney v4,이미지,2,3,2,일상 사용자
Midjourney v4,이미지,2,3,0,업무 사용자
Midjourney v4,이미지,3,3,3,연구자
Midjourney v4,이미지,2,3,2,학생
DALL·E 2,이미지,0,1,0,일상 사용자
DALL·E 2,이미지,0,1,1,학생
DALL·E 2,이미지,1,2,0,연구자
DALL·E 2,이미지,2,3,2,마케터
DALL·E 2,이미지,0,1,0,초보자
DALL·E 2,이미지,0,1,1,콘텐츠 전문가
DALL·E 2,이미지,2,3,2,디자이너
DALL·E 2,이미지,0,1,0,업무 사용자
DALL·E 2,이미지,2,3,2,연구자
AIVA,음악,3,3,3,연구자
AIVA,음악,3,3,2,학생
AIVA,음악,2,3,3,마케터
AIVA,음악,1,1,1,초보자
AIVA,음악,3,3,3,콘텐츠 전문가
AIVA,음악,3,3,2,디자이너
AIVA,음악,2,3,3,업무 사용자
AIVA,음악,3,3,3,일상 사용자
AIVA,음악,2,3,2,학생
Notion AI,텍스트,3,3,3,연구자
Notion AI,텍스트,3,3,2,학생
Notion AI,텍스트,2,3,3,마케터
Notion AI,텍스트,1,2,2,초보자
Notion AI,텍스트,3,3,3,콘텐츠 전문가
Notion AI,텍스트,3,3,2,디자이너
Notion AI,텍스트,2,3,3,업무 사용자
Notion AI,텍스트,3,3,3,일상 사용자
Notion AI,텍스트,2,3,2,학생
Soundraw,음악,1,2,0,학생
Soundraw,음악,0,1,1,마케터
Soundraw,음악,1,2,1,콘텐츠 전문가
Soundraw,음악,1,2,0,디자이너
Soundraw,음악,0,1,1,업무 사용자
Soundraw,음악,0,1,0,학생
Claude Sonnet,텍스트,2,3,2,일상 사용자
Claude Sonnet,텍스트,2,3,0,학생
Claude Sonnet,텍스트,3,3,2,연구자
Claude Sonnet,텍스트,3,3,3,마케터
Claude Sonnet,텍스트,1,1,0,초보자
Claude Sonnet,텍스트,2,3,2,콘텐츠 전문가
Claude Sonnet,텍스트,2,3,0,디자이너
Claude Sonnet,텍스트,3,3,2,업무 사용자
Claude Sonnet,텍스트,3,3,3,연구자
Gemini 1.5,텍스트,3,3,2,학생
Gemini 1.5,텍스트,2,3,3,연구자
Gemini 1.5,텍스트,3,3,3,콘텐츠 전문가
Gemini 1.5,텍스트,2,3,3,업무 사용자
Gemini 1.5,텍스트,2,3,2,학생
DreamBooth,이미지,2,3,0,학생
DreamBooth,이미지,3,3,1,초보자
DreamBooth,이미지,2,3,2,콘텐츠 전문가
DreamBooth,이미지,2,3,0,디자이너
DreamBooth,이미지,3,3,2,업무 사용자
DreamBooth,이미지,2,3,2,학생
Playground v2,이미지,2,3,0,학생
Playground v2,이미지,3,3,2,연구자
Playground v2,이미지,1,1,0,마케터
Playground v2,이미지,2,3,2,콘텐츠 전문가
Playground v2,이미지,3,3,3,디자이너
Loudly,음악,0,1,0,연구자
Loudly,음악,0,1,1,학생
Loudly,음악,1,2,0,마케터
Loudly,음악,1,1,0,초보자
Loudly,음악,0,1,0,콘텐츠 전문가
Loudly,음악,0,1,1,디자이너
Loudly,음악,1,2,1,업무 사용자
Loudly,음악,0,1,0,일상 사용자
Loudly,음악,1,2,1,학생
Suno.ai,음악,2,3,2,학생
Suno.ai,음악,1,1,0,초보자
Suno.ai,음악,3,3,3,콘텐츠 전문가
Suno.ai,음악,3,3,2,디자이너
Suno.ai,음악,1,2,1,학생
Google MusicLM,음악,2,3,0,마케터
Google MusicLM,음악,0,1,0,초보자
